Name,Disabled,FileName,BackgroundFile,FallBackMusic,Volume,Loop,PlayCount,MovieClipFrameLabel
String,boolean,String,boolean,String,int,boolean,int,String
BattleMusic,,music/slugfest_ingame_01.ogg,,,70,true,,
,,music/slugfest_ingame_03.ogg,,,70,true,,
,,music/slugfest_ingame_06.ogg,,,70,true,,
,,music/slugfest_ingame_02.ogg,,,70,true,,
,,music/slugfest_ingame_04.ogg,,,70,true,,
,,music/slugfest_ingame_07.ogg,,,70,true,,
,,music/slugfest_ingame_08.ogg,,,70,true,,
Footbrawl_ingame_muzak,,music/footbrawl_ingame_muzak_01.ogg,,,70,true,,
,,music/footbrawl_ingame_muzak_02.ogg,,,70,true,,
Scrapyard_ingame_music,,music/scrapyard_lvl_music_01.ogg,,,70,true,,
Footbrawl_menu_muzak,,music/footbrawl_menu_muzak_01.ogg,,,60,true,,
Brawzaar_menu_muzak,,music/brawzaar_menu_01.ogg,,,60,true,,
Monsterbrawl_menu_muzak,,music/bm_menu_01.ogg,,,60,true,,
Monsterbrawl_ingame_muzak,,music/bm_ingame_01.ogg,,,70,true,,
,,music/big_brawl_battle_02.ogg,,,70,true,,
Monsterbrawl_boss,true,music/brawlzilla_boss_01.ogg,,,70,true,,
Brawzaar_ingame_muzak,,music/brawzaar_ingame_01.ogg,,,70,true,,
,,music/brawzaar_ingame_02.ogg,,,70,true,,
Snow_brawl,,music/snow_brawl_01.ogg,,,70,true,,
,,music/snow_brawl_02.ogg,,,70,true,,
,,music/snow_brawl_03.ogg,,,70,true,,
Cny_levels,,music/cny_ingame_01.ogg,,,70,true,,
,,music/cny_ingame_02.ogg,,,70,true,,
Elprimo_fire_menu,,music/primo_fire_menu_01.ogg,,,60,true,,
Poco_Band_Ingame,,music/ingame_poco_track_01.ogg,,,70,true,,
,,music/ingame_poco_track_02.ogg,,,70,true,,
Starpark_Menu_Music,,music/braw_themepark_menu_01.ogg,,,60,true,,
Giftshop_Level_Music,,music/brawl_shop_ingame_01.ogg,,,70,true,,
Lunar_Menu_Music,,music/lunar_brawl_menu_01.ogg,,,60,true,,
Retropolis_battle,,music/retro_brawl_ingame_01.ogg,,,70,true,,
